# source, target, certainty, references, evidence
494,123,1,"array([18, 39, 41], dtype=int16)","array([1], dtype=int16)"
494,124,1,"array([18, 39, 41], dtype=int16)","array([1], dtype=int16)"
494,126,1,"array([18, 39, 41], dtype=int16)","array([1], dtype=int16)"
494,161,1,"array([18, 39, 41], dtype=int16)","array([1], dtype=int16)"
494,166,1,"array([18, 39, 41], dtype=int16)","array([1], dtype=int16)"
494,180,1,"array([14, 18, 22, 39, 41], dtype=int16)","array([1], dtype=int16)"
494,185,1,"array([18, 39, 41], dtype=int16)","array([1], dtype=int16)"
494,186,1,"array([14, 18, 39, 41], dtype=int16)","array([1], dtype=int16)"
495,100,3,"array([ 19,  45, 191], dtype=int16)","array([1, 4, 5], dtype=int16)"
495,108,3,"array([18, 19, 45], dtype=int16)","array([1, 4, 5], dtype=int16)"
495,109,3,"array([18, 19, 45], dtype=int16)","array([1, 4, 5], dtype=int16)"
495,122,3,"array([18, 19, 22, 45], dtype=int16)","array([1, 4, 5], dtype=int16)"
495,124,3,"array([18, 19, 45], dtype=int16)","array([1, 4, 5], dtype=int16)"
495,125,3,"array([18, 19, 45], dtype=int16)","array([1, 4, 5], dtype=int16)"
495,127,3,"array([18, 19, 45], dtype=int16)","array([1, 4, 5], dtype=int16)"
495,128,3,"array([12, 18, 19, 45], dtype=int16)","array([1, 4, 5], dtype=int16)"
495,130,3,"array([18, 19, 45], dtype=int16)","array([1, 4, 5], dtype=int16)"
495,143,3,"array([14, 18, 19, 45], dtype=int16)","array([1, 4, 5], dtype=int16)"
495,154,3,"array([18, 19, 22, 45], dtype=int16)","array([1, 4, 5], dtype=int16)"
495,160,3,"array([18, 19, 45], dtype=int16)","array([1, 4, 5], dtype=int16)"
495,170,3,"array([19, 45], dtype=int16)","array([1, 4, 5], dtype=int16)"
495,176,3,"array([18, 19, 45], dtype=int16)","array([1, 4, 5], dtype=int16)"
495,180,3,"array([14, 18, 19, 22, 45], dtype=int16)","array([1, 4, 5], dtype=int16)"
495,198,3,"array([ 19,  45, 191], dtype=int16)","array([1, 4, 5], dtype=int16)"
496,57,1,"array([18, 45], dtype=int16)","array([1], dtype=int16)"
496,66,1,"array([18, 45], dtype=int16)","array([1], dtype=int16)"
496,100,1,"array([ 45, 191], dtype=int16)","array([1], dtype=int16)"
496,104,1,"array([18, 45], dtype=int16)","array([1], dtype=int16)"
496,116,1,"array([18, 45], dtype=int16)","array([1], dtype=int16)"
496,123,1,"array([18, 45], dtype=int16)","array([1], dtype=int16)"
496,125,1,"array([18, 45], dtype=int16)","array([1], dtype=int16)"
496,126,1,"array([18, 45], dtype=int16)","array([1], dtype=int16)"
496,127,1,"array([18, 45], dtype=int16)","array([1], dtype=int16)"
496,159,1,"array([18, 45], dtype=int16)","array([1], dtype=int16)"
496,164,1,"array([18, 45], dtype=int16)","array([1], dtype=int16)"
496,165,1,"array([18, 45], dtype=int16)","array([1], dtype=int16)"
496,198,1,"array([ 45, 191], dtype=int16)","array([1], dtype=int16)"
496,199,1,"array([18, 45], dtype=int16)","array([1], dtype=int16)"
496,201,1,"array([18, 45], dtype=int16)","array([1], dtype=int16)"
496,203,1,"array([18, 45], dtype=int16)","array([1], dtype=int16)"
497,73,1,"array([12, 18, 45], dtype=int16)","array([1], dtype=int16)"
497,101,1,"array([12, 45], dtype=int16)","array([1], dtype=int16)"
497,117,1,"array([18, 24, 45], dtype=int16)","array([1], dtype=int16)"
497,118,1,"array([18, 45], dtype=int16)","array([1], dtype=int16)"
497,124,1,"array([18, 45], dtype=int16)","array([1], dtype=int16)"
497,125,1,"array([18, 45], dtype=int16)","array([1], dtype=int16)"
497,128,1,"array([12, 45], dtype=int16)","array([1], dtype=int16)"
497,178,1,"array([18, 45], dtype=int16)","array([1], dtype=int16)"
497,185,1,"array([18, 45], dtype=int16)","array([1], dtype=int16)"
497,202,1,"array([18, 45], dtype=int16)","array([1], dtype=int16)"
497,203,1,"array([12, 18, 45], dtype=int16)","array([1], dtype=int16)"
498,92,3,"array([12, 20], dtype=int16)","array([1, 2, 3, 5], dtype=int16)"
498,105,3,"array([12, 23], dtype=int16)","array([1, 2, 5], dtype=int16)"
498,106,3,"array([12, 14, 18], dtype=int16)","array([1, 2, 5], dtype=int16)"
498,108,3,"array([12, 18], dtype=int16)","array([1, 2, 5], dtype=int16)"
498,111,3,"array([ 12, 191], dtype=int16)","array([1, 2, 5], dtype=int16)"
498,124,3,"array([12, 18], dtype=int16)","array([1, 2, 5], dtype=int16)"
498,125,3,"array([12, 18], dtype=int16)","array([1, 2, 5], dtype=int16)"
498,128,3,"array([14, 18], dtype=int16)","array([1, 2, 5], dtype=int16)"
498,158,3,"array([12, 25], dtype=int16)","array([1, 2, 5], dtype=int16)"
498,160,3,"array([12, 18], dtype=int16)","array([1, 2, 5], dtype=int16)"
498,179,3,"array([12, 18], dtype=int16)","array([1, 2, 5], dtype=int16)"
499,0,3,"array([ 1,  2, 16, 39], dtype=int16)","array([ 1,  9, 10], dtype=int16)"
499,21,3,"array([ 8, 16, 41], dtype=int16)","array([ 1,  9, 10], dtype=int16)"
499,22,3,"array([ 8, 16, 41], dtype=int16)","array([ 1,  9, 10], dtype=int16)"
499,23,3,"array([ 8, 16, 41], dtype=int16)","array([ 1,  9, 10], dtype=int16)"
499,24,3,"array([ 8, 16, 41], dtype=int16)","array([ 1,  9, 10], dtype=int16)"
499,25,3,"array([ 9, 10, 11, 12, 16, 41], dtype=int16)","array([ 5,  9, 10], dtype=int16)"
499,29,3,"array([ 6, 10, 11, 16, 33, 41], dtype=int16)","array([ 1,  3,  9, 10], dtype=int16)"
499,30,3,"array([11, 12, 16, 41], dtype=int16)","array([ 1,  3,  9, 10], dtype=int16)"
499,230,3,"array([11, 16, 41], dtype=int16)","array([ 1,  9, 10], dtype=int16)"
499,233,3,"array([ 2, 16, 32, 41], dtype=int16)","array([ 1,  9, 10], dtype=int16)"
499,241,3,"array([16, 35, 41], dtype=int16)","array([ 5,  9, 10], dtype=int16)"
499,242,3,"array([ 6, 16, 31, 35, 41], dtype=int16)","array([ 1,  2,  7,  9, 10], dtype=int16)"
499,243,3,"array([16, 35, 41], dtype=int16)","array([ 5,  9, 10], dtype=int16)"
499,244,3,"array([ 16,  35,  41, 191], dtype=int16)","array([ 2,  9, 10], dtype=int16)"
499,245,3,"array([16, 31, 41], dtype=int16)","array([ 1,  2,  9, 10], dtype=int16)"
499,246,3,"array([11, 16, 41], dtype=int16)","array([ 5,  9, 10], dtype=int16)"
499,247,3,"array([16, 41], dtype=int16)","array([ 1,  9, 10], dtype=int16)"
499,303,3,"array([16, 40, 41], dtype=int16)","array([ 1,  9, 10], dtype=int16)"
499,439,3,"array([16, 35, 39, 41], dtype=int16)","array([ 1,  9, 10], dtype=int16)"
500,0,3,"array([ 2, 16, 18, 41], dtype=int16)","array([ 1,  9, 10], dtype=int16)"
500,9,3,"array([ 1,  2,  6,  7, 16, 41], dtype=int16)","array([ 1,  3,  7,  9, 10], dtype=int16)"
500,12,3,"array([ 1,  2,  7, 16, 41], dtype=int16)","array([ 3,  7,  9, 10], dtype=int16)"
500,23,3,"array([ 2,  8, 16, 41], dtype=int16)","array([ 1,  9, 10], dtype=int16)"
500,24,3,"array([ 2,  8, 16, 41], dtype=int16)","array([ 1,  9, 10], dtype=int16)"
500,27,3,"array([ 2, 11, 12, 15, 16, 41], dtype=int16)","array([ 5,  9, 10], dtype=int16)"
500,28,3,"array([ 2, 12, 14, 16, 41], dtype=int16)","array([ 5,  9, 10], dtype=int16)"
500,29,3,"array([ 2,  6, 10, 11, 16, 33, 41], dtype=int16)","array([ 1,  3,  9, 10], dtype=int16)"
500,30,3,"array([ 2, 11, 12, 16, 41], dtype=int16)","array([ 1,  3,  9, 10], dtype=int16)"
500,31,3,"array([ 2, 12, 16, 33, 41], dtype=int16)","array([ 5,  9, 10], dtype=int16)"
500,32,3,"array([ 2, 12, 16, 33, 41], dtype=int16)","array([ 5,  9, 10], dtype=int16)"
500,33,3,"array([ 2, 12, 16, 41], dtype=int16)","array([ 5,  9, 10], dtype=int16)"
500,105,3,"array([ 2, 16, 23, 41], dtype=int16)","array([ 1,  9, 10], dtype=int16)"
500,106,3,"array([ 2, 12, 14, 16, 18, 41], dtype=int16)","array([ 1,  9, 10], dtype=int16)"
500,211,3,"array([ 2, 14, 16, 33, 41], dtype=int16)","array([ 1,  9, 10], dtype=int16)"
500,214,3,"array([ 2, 14, 16, 41], dtype=int16)","array([ 1,  9, 10], dtype=int16)"
500,216,3,"array([ 2, 14, 16, 41], dtype=int16)","array([ 1,  9, 10], dtype=int16)"
501,0,3,"array([1, 2, 6], dtype=int16)","array([3, 9], dtype=int16)"
501,33,3,"array([ 6, 12], dtype=int16)","array([3, 5], dtype=int16)"
501,34,3,"array([ 6, 12, 33], dtype=int16)","array([3, 5], dtype=int16)"
501,35,3,"array([ 6, 12, 33], dtype=int16)","array([3, 5], dtype=int16)"
501,37,3,"array([ 6, 18], dtype=int16)","array([1, 3], dtype=int16)"
501,49,3,"array([ 6, 19], dtype=int16)","array([1, 3], dtype=int16)"
501,85,3,"array([ 6, 18], dtype=int16)","array([1, 3], dtype=int16)"
501,86,3,"array([ 6, 12, 18], dtype=int16)","array([1, 3], dtype=int16)"
501,100,3,"array([  6, 191], dtype=int16)","array([1, 3], dtype=int16)"
501,104,3,"array([ 6, 18], dtype=int16)","array([1, 3], dtype=int16)"
501,127,3,"array([ 6, 18], dtype=int16)","array([1, 3], dtype=int16)"
501,154,3,"array([ 6, 14, 18], dtype=int16)","array([1, 3], dtype=int16)"
501,203,3,"array([ 6, 12, 18], dtype=int16)","array([1, 3], dtype=int16)"
501,227,3,"array([ 6, 28], dtype=int16)","array([3], dtype=int16)"
502,175,3,"array([ 6, 18, 33, 24, 27, 77], dtype=int16)","array([1, 4, 5], dtype=int16)"
502,183,3,"array([ 6, 18, 33, 77], dtype=int16)","array([1, 4, 5], dtype=int16)"
502,185,3,"array([ 6, 18, 19, 77], dtype=int16)","array([1, 4, 5], dtype=int16)"
502,201,3,"array([ 6, 18, 19, 77], dtype=int16)","array([1, 4, 5], dtype=int16)"
502,213,3,"array([ 6, 18, 19, 77], dtype=int16)","array([1, 4, 5], dtype=int16)"
503,161,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
503,176,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
503,186,3,"array([14, 18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
503,202,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
503,215,3,"array([14, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
504,67,3,"array([18, 19], dtype=int16)","array([1, 4, 8], dtype=int16)"
504,98,3,"array([18, 19], dtype=int16)","array([1, 4, 8], dtype=int16)"
504,159,3,"array([18, 19], dtype=int16)","array([1, 4, 8], dtype=int16)"
504,171,3,"array([18, 19], dtype=int16)","array([1, 4, 8], dtype=int16)"
504,182,3,"array([18, 19], dtype=int16)","array([1, 4, 8], dtype=int16)"
504,199,3,"array([18, 19], dtype=int16)","array([1, 4, 8], dtype=int16)"
505,158,2,"array([19, 25], dtype=int16)","array([1, 4], dtype=int16)"
505,194,2,"array([18, 19], dtype=int16)","array([1, 4], dtype=int16)"
505,217,2,"array([14, 19], dtype=int16)","array([1, 4], dtype=int16)"
506,93,3,"array([14, 18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
506,96,3,"array([19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
506,100,3,"array([ 19, 191], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
506,103,3,"array([ 19, 191], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
506,119,3,"array([14, 18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
506,148,3,"array([14, 18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
507,112,2,"array([ 6, 18, 78], dtype=int16)","array([1, 4], dtype=int16)"
507,118,2,"array([ 6, 18, 78], dtype=int16)","array([1, 4], dtype=int16)"
507,186,2,"array([ 6, 14, 18, 78], dtype=int16)","array([1, 4], dtype=int16)"
507,194,2,"array([ 6, 18, 78], dtype=int16)","array([1, 4], dtype=int16)"
508,120,2,"array([ 14,  19,  79, 191], dtype=int16)","array([1, 4], dtype=int16)"
508,159,2,"array([18, 19, 79], dtype=int16)","array([1, 4], dtype=int16)"
508,177,2,"array([19, 79], dtype=int16)","array([1, 4], dtype=int16)"
508,200,2,"array([14, 19, 79], dtype=int16)","array([1, 4], dtype=int16)"
508,213,2,"array([14, 17, 79], dtype=int16)","array([1, 4], dtype=int16)"
509,96,3,"array([19], dtype=int16)","array([1, 4, 5], dtype=int16)"
509,129,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
509,149,3,"array([14, 18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
509,171,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
509,180,3,"array([19], dtype=int16)","array([1, 4, 5], dtype=int16)"
509,194,3,"array([19], dtype=int16)","array([1, 4, 5], dtype=int16)"
510,96,3,"array([19], dtype=int16)","array([1, 4, 5], dtype=int16)"
510,161,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
510,162,3,"array([19], dtype=int16)","array([1, 4, 5], dtype=int16)"
510,177,3,"array([19], dtype=int16)","array([1, 4, 5], dtype=int16)"
510,182,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
511,93,2,"array([18, 19, 22], dtype=int16)","array([1, 4], dtype=int16)"
511,118,2,"array([18, 19], dtype=int16)","array([1, 4], dtype=int16)"
511,182,2,"array([18, 19], dtype=int16)","array([1, 4], dtype=int16)"
511,201,2,"array([18, 18], dtype=int16)","array([1, 4], dtype=int16)"
511,208,2,"array([18, 19], dtype=int16)","array([1, 4], dtype=int16)"
511,217,2,"array([18, 19], dtype=int16)","array([1, 4], dtype=int16)"
512,99,3,"array([12, 18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
512,104,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
512,159,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
512,176,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
512,201,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
513,132,3,"array([18, 19], dtype=int16)","array([1, 4, 8], dtype=int16)"
514,75,3,"array([28, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
514,96,3,"array([19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
514,153,3,"array([14, 18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
514,194,3,"array([18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
514,199,3,"array([18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
515,76,3,"array([18, 19], dtype=int16)","array([1, 4, 8], dtype=int16)"
515,80,3,"array([19], dtype=int16)","array([1, 4, 8], dtype=int16)"
515,82,3,"array([18, 19], dtype=int16)","array([1, 4, 8], dtype=int16)"
516,139,2,"array([19], dtype=int16)","array([1, 4], dtype=int16)"
517,94,3,"array([18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
517,95,3,"array([18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
517,96,3,"array([19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
517,105,3,"array([19, 23], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
517,106,3,"array([12, 14, 18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
517,107,3,"array([18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
517,108,3,"array([18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
517,109,3,"array([18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
517,124,3,"array([18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
517,125,3,"array([18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
517,126,3,"array([18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
517,127,3,"array([18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
517,146,3,"array([14, 18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
518,145,3,"array([14, 18, 19], dtype=int16)","array([1, 4, 8], dtype=int16)"
518,154,3,"array([14, 18, 19], dtype=int16)","array([1, 4, 8], dtype=int16)"
518,157,3,"array([12, 19, 25], dtype=int16)","array([1, 4, 8], dtype=int16)"
518,158,3,"array([19, 25], dtype=int16)","array([1, 4, 8], dtype=int16)"
518,159,3,"array([18, 19], dtype=int16)","array([1, 4, 8], dtype=int16)"
518,199,3,"array([18, 19], dtype=int16)","array([1, 4, 8], dtype=int16)"
518,201,3,"array([18, 29], dtype=int16)","array([1, 4, 8], dtype=int16)"
519,122,3,"array([ 6, 18, 22, 31, 80], dtype=int16)","array([1, 4, 7], dtype=int16)"
519,124,3,"array([ 6, 18, 31, 80], dtype=int16)","array([1, 4, 7], dtype=int16)"
519,125,3,"array([ 6, 18, 31, 80], dtype=int16)","array([1, 4, 7], dtype=int16)"
519,128,3,"array([ 6, 12, 18, 31, 80], dtype=int16)","array([1, 4, 7], dtype=int16)"
519,161,3,"array([ 6, 18, 31, 80], dtype=int16)","array([1, 4, 7], dtype=int16)"
519,194,3,"array([ 6, 18, 31, 80], dtype=int16)","array([1, 4, 7], dtype=int16)"
519,201,3,"array([ 6, 18, 31, 80], dtype=int16)","array([1, 4, 7], dtype=int16)"
519,202,3,"array([ 6, 18, 31, 80], dtype=int16)","array([1, 4, 7], dtype=int16)"
519,203,3,"array([ 6, 12, 18, 31, 80], dtype=int16)","array([1, 4, 7], dtype=int16)"
520,80,3,"array([19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
520,111,3,"array([ 19, 191], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
520,127,3,"array([18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
520,128,3,"array([12, 18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
520,195,3,"array([19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
520,196,3,"array([18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
520,198,3,"array([ 19, 191], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
521,184,3,"array([ 19, 191], dtype=int16)","array([1, 4, 5], dtype=int16)"
521,185,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
521,186,3,"array([14, 18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
521,214,3,"array([14, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
522,119,3,"array([14, 18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
522,120,3,"array([ 14,  19, 191], dtype=int16)","array([1, 4, 5], dtype=int16)"
522,121,3,"array([18, 19, 24], dtype=int16)","array([1, 4, 5], dtype=int16)"
522,147,3,"array([14, 18, 19, 22], dtype=int16)","array([1, 4, 5], dtype=int16)"
523,151,3,"array([14, 18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
523,188,3,"array([12, 18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
523,204,3,"array([14, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
524,96,3,"array([19], dtype=int16)","array([1, 4, 5], dtype=int16)"
524,132,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
524,150,3,"array([14, 18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
524,195,3,"array([19], dtype=int16)","array([1, 4, 5], dtype=int16)"
524,217,3,"array([14, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
525,98,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
525,99,3,"array([12, 18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
525,107,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
525,108,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
525,218,3,"array([14, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
526,39,2,"array([14, 19], dtype=int16)","array([1, 4], dtype=int16)"
526,149,2,"array([14, 18, 19], dtype=int16)","array([1, 4], dtype=int16)"
526,219,2,"array([18, 19], dtype=int16)","array([1, 4], dtype=int16)"
527,133,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
527,145,3,"array([14, 18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
527,207,3,"array([14, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
528,160,2,"array([18, 19], dtype=int16)","array([1, 4], dtype=int16)"
528,194,2,"array([18, 19], dtype=int16)","array([1, 4], dtype=int16)"
528,198,2,"array([ 19, 191], dtype=int16)","array([1, 4], dtype=int16)"
528,203,2,"array([12, 18, 19], dtype=int16)","array([1, 4], dtype=int16)"
528,214,2,"array([14, 19], dtype=int16)","array([1, 4], dtype=int16)"
529,89,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
529,157,3,"array([12, 18, 25], dtype=int16)","array([1, 4, 5], dtype=int16)"
529,160,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
529,194,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
529,205,3,"array([19], dtype=int16)","array([1, 4, 5], dtype=int16)"
530,158,3,"array([19, 25], dtype=int16)","array([1, 4, 5], dtype=int16)"
530,198,3,"array([ 19, 191], dtype=int16)","array([1, 4, 5], dtype=int16)"
530,203,3,"array([12, 18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
530,218,3,"array([14, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
531,159,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
531,198,3,"array([ 19, 191], dtype=int16)","array([1, 4, 5], dtype=int16)"
531,199,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
531,203,3,"array([12, 18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
532,160,3,"array([18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
532,185,3,"array([18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
532,194,3,"array([18, 19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
532,209,3,"array([19], dtype=int16)","array([1, 4, 5, 8], dtype=int16)"
533,89,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
533,130,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
533,153,3,"array([14, 18, 19, 22], dtype=int16)","array([1, 4, 5], dtype=int16)"
533,186,3,"array([14, 18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
534,111,3,"array([ 19, 191], dtype=int16)","array([1, 4, 8], dtype=int16)"
534,131,3,"array([14, 19], dtype=int16)","array([1, 4, 8], dtype=int16)"
534,153,3,"array([14, 18, 19, 22], dtype=int16)","array([1, 4, 8], dtype=int16)"
534,199,3,"array([18, 19], dtype=int16)","array([1, 4, 8], dtype=int16)"
535,73,3,"array([12, 18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
535,95,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
535,200,3,"array([14, 18], dtype=int16)","array([1, 4, 5], dtype=int16)"
535,202,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
536,89,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
536,131,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
536,185,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
536,202,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
537,111,3,"array([  6, 191], dtype=int16)","array([1, 3, 4], dtype=int16)"
537,125,3,"array([ 6, 18], dtype=int16)","array([1, 3, 4], dtype=int16)"
537,157,3,"array([ 6, 12, 25], dtype=int16)","array([1, 3, 4], dtype=int16)"
537,201,3,"array([ 6, 18], dtype=int16)","array([1, 3, 4], dtype=int16)"
538,197,2,"array([14, 18, 19], dtype=int16)","array([1, 4], dtype=int16)"
538,210,2,"array([14, 19], dtype=int16)","array([1, 4], dtype=int16)"
539,201,2,"array([ 6, 18], dtype=int16)","array([1, 4], dtype=int16)"
539,209,2,"array([19], dtype=int16)","array([1, 4], dtype=int16)"
540,112,2,"array([18, 19], dtype=int16)","array([1, 4], dtype=int16)"
540,124,2,"array([18, 19], dtype=int16)","array([1, 4], dtype=int16)"
540,132,2,"array([18, 19], dtype=int16)","array([1, 4], dtype=int16)"
540,148,2,"array([14, 19], dtype=int16)","array([1, 4], dtype=int16)"
540,173,2,"array([18, 19, 26], dtype=int16)","array([1, 4], dtype=int16)"
540,188,2,"array([12, 18, 19], dtype=int16)","array([1, 4], dtype=int16)"
540,195,2,"array([19], dtype=int16)","array([1, 4], dtype=int16)"
540,213,2,"array([14, 19], dtype=int16)","array([1, 4], dtype=int16)"
541,96,3,"array([19], dtype=int16)","array([1, 4, 5], dtype=int16)"
541,150,3,"array([14, 18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
541,171,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
541,188,3,"array([12, 18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
541,195,3,"array([19], dtype=int16)","array([1, 4, 5], dtype=int16)"
541,269,3,"array([19], dtype=int16)","array([1, 4, 5], dtype=int16)"
541,448,3,"array([19], dtype=int16)","array([1, 4, 5], dtype=int16)"
542,129,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
542,143,3,"array([14, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
542,145,3,"array([14, 18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
542,147,3,"array([14, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
542,447,3,"array([19], dtype=int16)","array([1, 4, 5], dtype=int16)"
543,96,3,"array([19], dtype=int16)","array([1, 4, 5], dtype=int16)"
543,112,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
543,124,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
543,127,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
543,152,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
543,188,3,"array([12, 18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
543,195,3,"array([19], dtype=int16)","array([1, 4, 5], dtype=int16)"
543,204,3,"array([12, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
544,96,3,"array([19], dtype=int16)","array([1, 4, 5], dtype=int16)"
544,410,2,"array([19], dtype=int16)","array([4, 5], dtype=int16)"
544,411,2,"array([19], dtype=int16)","array([4, 5], dtype=int16)"
544,413,2,"array([19], dtype=int16)","array([4, 5], dtype=int16)"
544,414,2,"array([19], dtype=int16)","array([4, 5], dtype=int16)"
544,415,2,"array([19], dtype=int16)","array([4, 5], dtype=int16)"
544,504,3,"array([19], dtype=int16)","array([4, 5, 8], dtype=int16)"
545,49,3,"array([14, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
545,96,3,"array([18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
545,154,3,"array([191], dtype=int16)","array([1, 4, 5], dtype=int16)"
545,188,3,"array([12, 18, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
545,195,3,"array([19], dtype=int16)","array([1, 4, 5], dtype=int16)"
545,214,3,"array([14, 19], dtype=int16)","array([1, 4, 5], dtype=int16)"
