# index, _graphml_vertex_id, _pos
859,Wise Group,"array([2.55037695, 3.18999224])"
860,Wintec,"array([2.62485984, 2.98794389])"
861,Reserve Bank of New Zealand,"array([2.68512001, 3.01363945])"
862,Theranostics Laboratory,"array([2.5773532 , 3.06679458])"
863,Totara Hospice,"array([2.54093958, 3.11183455])"
864,OPRA Consulting Group,"array([2.83125337, 3.07678816])"
865,Ministry of Justice,"array([2.66694472, 3.0431387 ])"
866,Sky Blue House Ltd.,"array([2.69643638, 3.06200248])"
867,Kaipara District Council,"array([2.61151829, 2.87629629])"
868,Royal Australian and New Zealand College of Psychiatrists,"array([2.53818261, 3.15962564])"
869,Orb Solutions,"array([2.71750438, 3.04656829])"
870,Grace Hospital,"array([2.62402466, 3.16412131])"
871,West Coast District Health Board,"array([2.64125186, 3.10627121])"
872,Rotary Club of Riccarton,"array([3.35986373, 3.39268084])"
873,OSPRI New Zealand Ltd,"array([2.68463099, 2.87232608])"
874,Raukura Hauora O Tainui Trust,"array([2.7005744 , 3.12952712])"
875,Golder Associates (NZ) Ltd,"array([2.67954932, 3.00849068])"
876,Papamoa Pines Medical Centre,"array([2.64403077, 3.07237266])"
877,Glenfield Hospital,"array([2.72813152, 2.9190207 ])"
878,Paton-Simpson Associates Limited,"array([2.57697693, 3.05133248])"
879,Te Ropu Whakahau,"array([2.5886436 , 2.85793915])"
880,New Zealand Agriseeds Limited,"array([2.56732618, 2.90336813])"
881,Laura Fergusson Trust,"array([2.70189617, 3.11884829])"
882,Stardome Observatory,"array([2.63268989, 3.01145801])"
883,Horowhenua Community Practice,"array([2.67541847, 3.20027332])"
884,New Zealand Avocado Growers Association,"array([2.5055972, 2.9081054])"
885,Te Awaroa Foundation,"array([2.49970297, 3.11831412])"
886,Bank of Scotland,"array([2.53090387, 3.13252859])"
887,Veterinary Associates Equine and Farm Ltd,"array([2.69251118, 2.89920021])"
888,Private Endodontic Practice,"array([2.63958256, 3.19139794])"
889,Kiwi Well Evaluation Ltd,"array([2.72368121, 3.06558359])"
890,Magritek Limited,"array([2.63911049, 3.09810621])"
891,Royal Society of New Zealand,"array([2.6029455 , 3.00396341])"
892,Chemipreneur Ltd.,"array([2.68876726, 2.94202433])"
893,MARS Bioimaging Ltd,"array([2.69202919, 3.07188739])"
894,Melanoma Unit,"array([2.54270811, 3.08092853])"
895,Compusoft Engineering Limited,"array([2.46648936, 3.12238564])"
896,Milner Consulting Ltd.,"array([2.54638326, 2.20563331])"
897,Orange Consulting,"array([2.66388844, 3.20168362])"
898,UltraMSK,"array([2.72568977, 3.1615561 ])"
899,Warehouse Stationery,"array([2.76746999, 2.93224267])"
900,SPAT NZ,"array([2.51065232, 2.95552318])"
901,Royal New Zealand College of General Practitioners,"array([2.60766079, 3.06182486])"
902,Animals and Marine Surveillance and Investigation Team,"array([2.61684566, 2.83648954])"
903,Mesynthes Ltd.,"array([2.686811  , 3.00364912])"
904,Bay Audiology,"array([2.78846842, 3.06100044])"
905,Foundation for Arable Research,"array([2.6309103 , 2.86384528])"
906,New Zealand Kiwi Foundation,"array([2.4831816 , 3.03706338])"
907,T and T Consulting,"array([2.47290825, 3.09820629])"
908,Midland MRI,"array([2.75219035, 2.8902323 ])"
909,Auckland Botanic Gardens,"array([2.67111508, 2.9440412 ])"
910,National Council of Women of New Zealand,"array([2.67699396, 2.96173439])"
911,Henderson Valley Primary School,"array([2.77959245, 2.94474723])"
912,Zespri International Ltd.,"array([2.63590658, 2.97255949])"
913,Pukekohe Veterinary Centre,"array([2.55619001, 2.99116038])"
914,Department of Conservation,"array([2.6515426 , 2.98417074])"
915,The Family Centre New Zealand,"array([2.78635666, 2.93722847])"
916,Blues Rugby Club,"array([2.17848804, 3.70337645])"
917,New Zealand Geotechnical Society Ine (NZGS),"array([1.83003213, 3.11385935])"
918,SubAntarctic Foundation for Ecosystems Research (SAFER),"array([2.67062814, 3.00246799])"
919,Auckland Council,"array([2.64845586, 2.99551524])"
920,Biosecurity New Zealand,"array([2.63395351, 2.89569426])"
921,Kiwikiwi Research and Evaluation Services,"array([2.61021063, 3.17625449])"
922,Auckland Astronomical Society,"array([2.55177006, 3.07833433])"
923,Takapuna Normal Intermediate School,"array([2.47561732, 3.04000573])"
924,New Zealand Gynaecological Cancer Foundation,"array([2.63072416, 3.14255967])"
925,Alexandra Lions Club,"array([2.72186374, 2.86787351])"
926,Project Litefoot Trust,"array([2.50786054, 3.26508746])"
927,Sportsmed,"array([2.68874081, 3.02250009])"
928,Mary Potter Hospice,"array([2.58806872, 2.99560622])"
929,Marshall Day Acoustics Ltd.,"array([2.66847308, 3.08311231])"
930,Katipo Communications,"array([3.43764911, 3.16055328])"
931,Makoura College,"array([2.78850629, 3.00931053])"
932,Quit Group,"array([2.642585  , 3.08566221])"
933,Solutionsplus,"array([2.65776013, 3.13389826])"
934,Health Alliance,"array([2.54759359, 3.07127706])"
935,South Wairarapa Veterinary Services,"array([2.53648956, 2.91418789])"
936,Bayleys Property Services,"array([2.4698043 , 3.04815908])"
937,The Virtual Institute of Statistical Genetics,"array([2.57486828, 3.01999851])"
938,Mangere Community Health Trust (Primary Health Organisation),"array([2.57708105, 3.09436233])"
939,Ministry of Health,"array([2.62219253, 3.04991995])"
940,Health New Zealand Ltd.,"array([2.63067578, 3.05030764])"
941,HodderBalog Social and Scientific Research,"array([2.76665617, 3.06909929])"
942,Forest and Bird,"array([2.58364747, 2.96278886])"
943,Ferndale School,"array([2.81367538, 3.08863624])"
944,The Kestral Group Ltd.,"array([2.69321786, 3.00645263])"
945,AsureQuality,"array([2.69073785, 2.96943145])"
946,Kowhai Health Trust,"array([2.55230838, 3.14583434])"
947,Land Information New Zealand,"array([2.67525809, 3.0250371 ])"
948,Terranova Seeds Ltd,"array([2.57026781, 2.94419204])"
949,ScottEconomics,"array([2.5190126 , 2.90255048])"
950,Central Stories Museum,"array([2.7389545 , 2.86245143])"
951,Seed Solutions,"array([2.5848815 , 2.85011442])"
952,Safekids New Zealand,"array([2.52081626, 3.08291858])"
953,ARH Construction,"array([2.46100328, 3.11402348])"
954,Bio Soil and Crop Ltd,"array([1.89344064, 2.67690741])"
955,Sense Medical Ltd,"array([2.71423687, 3.09093192])"
956,JRA (NZ) Ltd.,"array([2.47204724, 3.08924861])"
957,OMV New Zealand Ltd.,"array([2.71472781, 3.00972003])"
958,Ministry of Foreign Affairs and Trade,"array([2.66047202, 3.00826001])"
959,New Brighton Health Care,"array([2.6937437, 3.1236431])"
960,Canterbury Health Ltd,"array([2.63473028, 3.06302293])"
961,Hamilton Sacred Heart College for Girls,"array([2.76364481, 2.92143917])"
962,At the Vets,"array([2.54114416, 2.92205163])"
963,Real World Education Ltd.,"array([2.68438756, 2.86132334])"
964,Otorohanga Dental Surgery,"array([2.73638034, 3.17669489])"
965,Patients First,"array([2.64555004, 3.15015931])"
966,BC Consulting Ltd.,"array([2.74990286, 2.96529146])"
967,Bay of Plenty District Health Board,"array([2.6138461 , 3.05808812])"
968,Cashmere Health,"array([2.66015456, 3.18441008])"
969,Sapere Research Group,"array([2.63101461, 3.09706847])"
970,LWT Animal Nutrition Ltd.,"array([2.61771778, 2.85409291])"
971,Pioneer Generation Ltd.,"array([2.80342705, 2.99155   ])"
972,Christchurch Clinical Studies Trust,"array([2.5959881 , 3.24824035])"
973,Hospice New Zealand,"array([2.57759589, 3.0373697 ])"
974,Z Energy,"array([2.58625256, 3.13148952])"
975,Otago Computational Modelling Group Ltd.,"array([2.68399318, 3.05616098])"
976,Cadwallader Tree Consultancy,"array([2.78404398, 3.07866636])"
977,Arohanui Hospice,"array([2.60014013, 3.17348173])"
978,Callaghan Innovation,"array([2.66740883, 2.99681276])"
979,Solid Energy New Zealand Ltd,"array([2.65245313, 3.01167112])"
980,Agknowledge Ltd.,"array([2.64558286, 2.89874272])"
981,Eco Research Associates Ltd,"array([2.6531229 , 3.00450906])"
982,Food and Health Group,"array([2.60617544, 2.89318125])"
983,Asia New Zealand Foundation,"array([2.66462656, 3.01522373])"
984,Specialised Architecture Services Ltd,"array([2.79129614, 2.99109544])"
985,Digestive Health Services,"array([2.69754629, 3.11179325])"
986,Geoscience Consulting Ltd,"array([2.47122965, 3.11372462])"
987,CPG New Zealand Ltd.,"array([2.57169012, 2.83253452])"
988,The Aromatherapy Company,"array([2.4907723 , 3.05594375])"
989,Matamata Veterinary Services Ltd,"array([2.6933159 , 2.93053709])"
990,Compusoft Engineering Ltd.,"array([2.50943966, 3.12355833])"
991,Oral Health Centre,"array([2.63133501, 3.15604384])"
992,Warkworth Birthing Centre,"array([2.47680413, 2.97648892])"
993,Energy Solution Providers Ltd.,"array([2.58804365, 2.8870439 ])"
994,Pacific Brands,"array([2.45138826, 3.01423208])"
995,AECOM,"array([2.67580883, 3.05454048])"
996,Freshport NZ Ltd,"array([2.63363949, 2.88101611])"
997,Agribusiness Group,"array([2.6098797 , 2.97945568])"
998,Antarctic Heritage Trust,"array([2.76791449, 2.94302422])"
999,Nelson Forests Limited,"array([2.75629064, 2.98312912])"
1000,Medical Research Institute of New Zealand,"array([2.63025925, 3.0560203 ])"
1001,Tauranga City Council,"array([2.89076593, 2.94838332])"
1002,Nutrition Society of New Zealand,"array([2.74517573, 3.14016805])"
1003,IGENZ Ltd,"array([2.54458456, 3.05929264])"
1004,Whakauae Research,"array([2.61115828, 3.01969408])"
1005,International Student Ministries of New Zealand,"array([2.71638665, 3.08022955])"
1006,SUERC Radiocarbon Dating Laboratory,"array([2.73441571, 3.07490877])"
1007,Highnam Associates Ltd.,"array([2.49224233, 3.16430434])"
1008,Hyland Consultants,"array([2.74733611, 3.00241994])"
1009,Southern Clinical Trials Group Ltd.,"array([2.66882561, 3.13420318])"
1010,Marine Fisheries Research Services Limited,"array([2.65977693, 2.8904521 ])"
1011,Midland Regional Forensic Services,"array([2.5082877 , 3.14363573])"
1012,Alexandra Medical Centre,"array([2.70904768, 3.19344082])"
1013,Areograph Ltd.,"array([2.73167218, 3.10210983])"
1014,Wellington East Girls College,"array([2.66950804, 3.16915902])"
1015,Central and Southern New Zealand Craniofacial Program,"array([2.67433989, 3.08721249])"
1016,Royal New Zealand Plunket Society,"array([2.67418065, 3.04183048])"
1017,Assa Abloy New Zealand Ltd,"array([2.69334203, 3.17976292])"
1018,Intensive Care Flight Paramedic,"array([2.57498158, 3.1205583 ])"
1019,Te Rawhiti Community Mental Health Centre,"array([2.57307821, 3.16726118])"
1020,Planning Consultants Ltd,"array([2.59537686, 2.99404937])"
1021,Baxter Healthcare Limited,"array([2.60743529, 3.08045666])"
1022,Gallagher Animal Management Systems,"array([2.78673115, 2.91998853])"
1023,Workbase Education Trust,"array([2.46088381, 3.0483289 ])"
1024,Agrimm Technologies Ltd,"array([2.62211709, 2.86851741])"
1025,Litmus,"array([2.62963685, 3.09072514])"
1026,New Zealand Antarctic Institute,"array([2.80580317, 3.08127654])"
1027,Heretaunga Health,"array([2.55197732, 3.11787815])"
1028,Skin Specialist Centre,"array([2.51019215, 3.04688089])"
1029,Fresenius Medical Care Australia Pty Ltd (New Zealand Branch),"array([2.54564274, 3.10285485])"
1030,Q-Bit Ltd.,"array([2.71574982, 2.98039381])"
1031,Langimalie Tongan Health Centre,"array([2.54946839, 3.17856102])"
1032,Matamata Medical Centre,"array([2.52988271, 3.04958947])"
1033,New River Ltd,"array([2.726079 , 3.1510344])"
1034,Seeka Kiwifruit Industries,"array([2.62284126, 2.97273527])"
1035,Radiata Pine Breeding Company,"array([2.79737765, 2.90035777])"
1036,Royal Forest and Bird Protection Society of New Zealand,"array([2.61134254, 2.98588597])"
1037,Motu Economic and Public Policy Research,"array([2.65389287, 2.99311836])"
1038,GHD Limited,"array([2.1410477 , 2.36549005])"
1039,Inglewood Veterinary Services,"array([2.61676825, 2.90255606])"
1040,Foundation for Research Science and Technology,"array([2.52666418, 2.90941758])"
1041,Te Puni Kokiri,"array([2.6476185 , 3.04026421])"
1042,KVB Kunlun New Zealand Limited,"array([2.56913802, 2.87583781])"
1043,Carter National Observatory,"array([2.74017671, 3.05167002])"
1044,River Engineering,"array([2.66493814, 2.8629188 ])"
1045,Intus Digestive and Colorectal Care,"array([2.74486351, 3.14997031])"
1046,RuralLink,"array([2.75955919, 2.91104593])"
1047,Ako Aotearoa National Centre for Tertiary Teaching Excellence,"array([2.77741983, 3.03167513])"
1048,Alliance Group Ltd,"array([2.66165653, 2.87176091])"
1049,Quarantine Scientiic Limited,"array([2.51799721, 2.86374353])"
1050,Bioactives Research New Zealand,"array([2.58002826, 3.01077628])"
1051,Whisper Tech. Ltd.,"array([2.79989942, 3.09939253])"
1052,Otahuhu College,"array([2.60056752, 3.11312037])"
1053,Children's Specialist Centre,"array([2.72800153, 3.12088397])"
1054,Fruition Technology,"array([2.66890466, 2.8169136 ])"
1055,South Link Health Inc.,"array([2.7104071 , 3.18156816])"
1056,MBCentury Ltd,"array([2.50315462, 3.17034566])"
1057,Allen & Clarke  Policy and Regulatory Specialists Limited,"array([2.63818355, 3.03353991])"
1058,Meditrina Ltd,"array([2.59603694, 3.14480988])"
1059,CRESA,"array([2.8124753 , 2.99673221])"
1060,Methanex,"array([2.60007733, 2.94838774])"
1061,Adidas Sports Medicine,"array([2.49041857, 3.14022332])"
1062,Fauna Finders,"array([2.70223173, 2.89883286])"
1063,Health Partners Consulting Group,"array([2.60371102, 3.09693677])"
1064,Kina Families and Addictions Trust,"array([2.59614948, 3.01759258])"
1065,City Care Ltd,"array([2.79849106, 3.1176486 ])"
1066,Westland Milk Products,"array([2.58554959, 2.91106831])"
1067,Disability Resource Centre,"array([2.51008757, 3.02300866])"
1068,PlusGroup Limited,"array([2.61876693, 2.91779845])"
1069,Auckland City Mission,"array([2.59386498, 2.96622338])"
1070,New Zealand Sports Turf Institute,"array([2.54632153, 2.86745333])"
1071,Science Haven,"array([2.57801292, 2.87767419])"
1072,Biometrics Matters Ltd,"array([2.56199802, 3.05612796])"
1073,Parresia Research Limited,"array([2.43950959, 3.04875508])"
1074,Resilient Organisations,"array([2.65427095, 3.11107904])"
1075,North Shore International Academy,"array([2.66498091, 2.90814563])"
1076,Auckland Transport,"array([2.45214497, 3.08724045])"
1077,AP EnerTec Ltd.,"array([3.32451219, 2.58199357])"
1078,Prohealth Physiotherapy Ltd,"array([2.66642451, 3.15111233])"
1079,Truffles and Mushrooms Ltd.,"array([2.49220582, 2.90885224])"
1080,JRL Consulting Ltd.,"array([2.70687403, 2.88901869])"
1081,NetValue,"array([2.66408736, 3.83911207])"
1082,Catch Ltd.,"array([2.46194694, 3.06541539])"
1083,Te Wahanga Kaupapa Maori,"array([2.7052597 , 3.02907697])"
1084,SciCon Scientific Consultants,"array([2.6543649, 2.7791484])"
1085,Endoscopy Auckland,"array([2.51910109, 3.07331391])"
1086,New Zealand Cot Death Association,"array([2.49738804, 3.02341395])"
1087,CIGNA Health,"array([2.57948951, 3.1872703 ])"
1088,Toko Primary School,"array([2.78696416, 2.94959191])"
1089,TaPasefika PHO,"array([2.5521866 , 3.09715377])"
1090,Natural Resource Assessors,"array([2.69404402, 2.99740111])"
1091,Midwifery Council of New Zealand,"array([2.70220034, 3.05637291])"
1092,Staples Rodway,"array([2.66287183, 3.12609494])"
1093,Bickler Consultants Ltd.,"array([2.65544443, 3.0426596 ])"
1094,St Joseph's Healthcare,"array([2.50093964, 3.00371401])"
1095,Southern Rehabilitation Institute,"array([2.6797954 , 3.19151956])"
1096,Canterbury Civil Defence and Emergency Management Group,"array([2.71112772, 3.12206006])"
1097,Wakefield Clinic,"array([2.69682596, 3.04814297])"
1098,Epi-interactive,"array([2.6036522 , 3.01715796])"
1099,ASR Limited Martine Consulting and Research,"array([2.65706108, 2.94670772])"
1100,Urtica Inc. Ecological Monitoring and Consultancy,"array([2.65370317, 2.92312861])"
1101,Millar Instruments,"array([2.56066037, 3.0279577 ])"
1102,Epsom Girls Grammar School,"array([2.48988458, 3.10099501])"
1103,Ryder Consulting Ltd,"array([2.59566895, 3.00360414])"
1104,Oamaru Hospital,"array([2.69954454, 3.15591743])"
1105,Manukau SuperClinic,"array([2.4490567 , 3.07816444])"
1106,Mt. Albert Psychological Services Ltd,"array([2.67244941, 2.90189394])"
1107,AgriHealth NZ Limited,"array([2.48316807, 2.88329716])"
1108,Parkinson's New Zealand,"array([2.4564813 , 3.10525327])"
1109,Radio Spectrum Management,"array([2.75410621, 3.05350434])"
1110,Saltwater Science Ltd,"array([2.72014475, 3.03665226])"
1111,Kaikoura Ocean Research Institute Inc.,"array([2.56434485, 2.99527707])"
1112,SAFE Programme,"array([2.54676709, 3.15746651])"
1113,Warkworth Veterinary Services,"array([2.58242166, 2.92043512])"
1114,Cancer Control Council of New Zealand,"array([2.58713902, 3.02534961])"
1115,Hutt Valley High School,"array([2.71974716, 3.12616012])"
1116,Compass Health,"array([2.61492064, 3.09883339])"
1117,Elite Beauty Therapy School,"array([2.56486148, 3.17182777])"
1118,Counties Manukau District Health Board,"array([2.59662629, 3.06400344])"
1119,Learning for Sustainability,"array([2.65076856, 2.97025578])"
1120,Eltham District Veterinary Services,"array([2.59504539, 2.9352026 ])"
1121,Waikato Occupational Services Ltd,"array([2.6067165 , 3.02399018])"
1122,National Addiction Centre,"array([2.71889725, 3.13720627])"
1123,Tararua Veterinary Services Ltd,"array([2.54884083, 2.84615972])"
1124,St Mary's College,"array([2.77314909, 3.05007833])"
1125,Future Steps,"array([2.65679567, 3.09414237])"
1126,Atkinson and Rapley Consulting,"array([2.56533532, 2.84958461])"
1127,Northern Cancer Network,"array([2.53541391, 3.12261025])"
1128,Public Policy and Research Ltd,"array([2.82000566, 3.00415739])"
1129,Northern Regional Alliance,"array([2.66692854, 3.06012119])"
1130,New Zealand Aluminium Smelters Limited,"array([2.52529258, 3.17625928])"
1131,FutureMATH Ltd.,"array([2.68181558, 3.22190961])"
1132,Anexa FVC,"array([2.58078752, 2.94460101])"
1133,Veterinary Clinical Pathology Ltd,"array([2.46163656, 2.92700998])"
1134,Ministry for the Environment,"array([2.66078561, 2.99313613])"
1135,DaVinci Clinic,"array([2.52049057, 3.1977682 ])"
1136,NIU Development Incorporated,"array([2.55474633, 2.98366978])"
1137,Diabetes Otago Inc,"array([2.63901256, 3.18119235])"
1138,Chemistry Communications,"array([2.54245322, 3.1288977 ])"
1139,Timberlands Ltd.,"array([2.79105881, 2.8906778 ])"
1140,Techion Group Limited,"array([2.69990794, 3.14695867])"
1141,Antarctica New Zelaand,"array([2.71110035, 2.99324398])"
1142,Interpine Forestry Ltd,"array([2.73061863, 2.93559124])"
1143,Leather & Shoe Research Association of New Zealand,"array([2.65418228, 2.90821076])"
1144,Polybatics Ltd.,"array([2.66319665, 2.94145382])"
1145,Tipa and Associates Ltd.,"array([2.74504436, 2.8991959 ])"
1146,Transfeld Worley Limited,"array([2.47108496, 3.0228699 ])"
1147,Canterbury Rugby Football Union and Crusaders,"array([2.70016336, 2.94859397])"
1148,Alan Bell and Associates,"array([2.71661268, 2.94510054])"
1149,Vetlife Temuka,"array([2.57078731, 2.85808593])"
1150,Animal Health Board New Zealand,"array([2.61829763, 2.94841569])"
1151,MSD Animal Health Ltd,"array([2.61552286, 2.88495845])"
1152,AbacusBio Ltd.,"array([2.63176872, 2.95328767])"
1153,New Zealand Blood Service,"array([2.6366914 , 3.06873634])"
1154,Taylor Baines and Associates,"array([2.54636003, 2.90082796])"
1155,Nurse Maude Association,"array([2.70039598, 3.06915891])"
1156,Siemens Healthcare,"array([2.53935459, 3.18478672])"
1157,Whakawhiti Ora Pai Community Health Services,"array([2.50443873, 3.06642588])"
1158,Tiakina Te Taiao Ltd,"array([2.7008305 , 2.90913917])"
1159,Te Kura Kaupapa Maori O Te Koutu,"array([2.50443005, 3.15189424])"
1160,Reveal Infrastructure Ltd.,"array([2.12422504, 2.3785786 ])"
1161,Auckland District Health Board,"array([2.59433457, 3.07942097])"
1162,Perinatal and Maternal Mortality Review Committee,"array([2.59960681, 3.07616181])"
1163,Wairakei Research Station,"array([2.45658503, 3.07178414])"
1164,PSL Limited,"array([2.65737123, 2.81590832])"
1165,Auckland Zoo,"array([2.61911579, 3.01960003])"
1166,Carroll Consulting ltd,"array([2.64952031, 2.9165759 ])"
1167,Nutrigenomics New Zealand,"array([2.60691534, 2.99093044])"
1168,New Zealand Institute of Chartered Accountants,"array([2.64770168, 2.84858032])"
1169,Acurity Health Group ltd.,"array([2.62901517, 3.07152288])"
1170,Ngati Rangi Trust,"array([2.51716395, 2.91308869])"
1171,David Penman and Associates,"array([2.66036763, 2.82726033])"
1172,Kenex Ltd,"array([3.23112354, 2.46097178])"
1173,Poyry Management Consulting (NZ) Ltd.,"array([2.74522596, 2.9579851 ])"
1174,Assurity Consulting Ltd,"array([2.46536955, 2.97477493])"
1175,Hyperbaric Health,"array([2.58958244, 3.08417591])"
1176,Dumpark Data Science,"array([2.8229582 , 2.87149472])"
1177,Optimal Clinical Trials,"array([2.68188654, 3.09132358])"
1178,Ministry of Business Innovation and Employment,"array([2.68067072, 2.99225464])"
1179,Inclusive Education Action Group,"array([2.49440719, 3.10802323])"
1180,FuturebyDesign Ltd.,"array([2.62500671, 3.08519244])"
1181,Aranui High School,"array([2.61074544, 2.91051025])"
1182,Karori Sanctuary Trust,"array([2.62535109, 2.93220895])"
1183,The Salvation Army,"array([2.49400211, 3.13205747])"
1184,Dunedin South Veterinary Clinic,"array([2.56798197, 2.84122319])"
1185,Redpanther Research,"array([2.94559929, 3.77687135])"
1186,Enigma Publishing Ltd.,"array([2.53682518, 3.05525791])"
1187,Chatham Rock Phosphate Ltd.,"array([3.216556  , 2.44572486])"
1188,Donald Beasley Institute,"array([2.67608108, 3.01429595])"
1189,Ministry of Consumer Affairs,"array([2.56410325, 2.9770686 ])"
1190,Port Otago Ltd,"array([2.84134874, 2.98801755])"
1191,Inland Revenue,"array([2.710097  , 2.96886317])"
1192,QStar Solutions Ltd.,"array([2.7675854 , 3.03231074])"
1193,New Zealand Institute of Economic Research,"array([2.62565249, 3.02946032])"
1194,Cognition Education Limited,"array([2.50208901, 3.05594088])"
1195,Alcohol Advisory Council of New Zealand,"array([2.5179543 , 2.97625887])"
1196,Whitford Wildbird Care Centre,"array([2.63786412, 3.04741263])"
1197,SolNet Solutions Limited,"array([2.53128749, 3.00749681])"
1198,Otago Girls High School,"array([2.61300515, 3.02579258])"
1199,Mulgor Consulting Ltd.,"array([2.74531019, 2.94643196])"
1200,DCM Process Control Ltd.,"array([2.48115448, 3.02806914])"
1201,Midlands Health Network,"array([2.55147204, 3.06345344])"
1202,Rangiora New Life School,"array([2.73154219, 3.09326013])"
1203,Bream Bay Medical Centre,"array([2.53708146, 3.13991715])"
1204,Agri-Search Ltd,"array([2.6986355 , 2.82486994])"
1205,NZ Parsa Tiling Limited,"array([2.77500917, 3.08798352])"
1206,Bunnythorpe School,"array([2.70948028, 2.85025342])"
1207,Connovation Ltd.,"array([2.62520086, 2.98040241])"
1208,Wildlife Management International Limited,"array([2.59962897, 2.98728938])"
1209,PA Handford and Assoc. Ltd.,"array([2.7295316 , 2.90935761])"
1210,Microfossil Research Ltd,"array([2.63470862, 2.99533983])"
1211,Special Education,"array([2.79141578, 2.92870536])"
1212,Beef and Lamb New Zealand,"array([2.58080199, 2.99715362])"
1213,Te Wananga O Aotearoa,"array([2.6271333, 2.8349986])"
1214,New Zealand Organisation for Rare Disorders (NZORD),"array([2.66874609, 3.19068122])"
1215,Brownrigg Agriculture,"array([2.69380414, 2.87679964])"
1216,New Zealand Institute for Advanced Study,"array([2.62738062, 2.85359802])"
1217,Intensive Care Services,"array([2.51297504, 3.05660763])"
1218,Central Otago Tourism,"array([2.70939535, 3.16007311])"
1219,InterAg,"array([2.61312986, 2.95774738])"
1220,New Zealand Nurses Organisation,"array([2.58207827, 3.05858091])"
1221,Te Waipuna Puawai,"array([2.56142579, 2.8311188 ])"
1222,CanZealand Geoscience Ltd,"array([2.81252838, 2.95593641])"
1223,Upland Research,"array([2.73349066, 2.85070616])"
1224,PharmTech Service Limited,"array([2.56800732, 3.02586239])"
1225,Biodiscovery New Zealand Ltd.,"array([2.61858685, 2.98413643])"
1226,Auckland Breast Centre,"array([2.6094    , 3.19854898])"
1227,DeerNZ,"array([2.49222755, 2.91970697])"
1228,CAL Engineering Management,"array([2.74197079, 3.01068394])"
1229,UCOL,"array([2.60407785, 2.94065692])"
1230,Agencies for Nutrition Action,"array([2.67950248, 3.16515051])"
1231,TechPro Plus Ltd.,"array([2.65032916, 3.09538605])"
1232,Think Consultancy Company,"array([2.62064256, 2.82724837])"
1233,Vitec Nutrition Limited,"array([2.60748331, 2.90137195])"
1234,Northern Southland Veterinary Services,"array([2.47753765, 2.90985139])"
1235,MWH New Zealand Ltd,"array([2.66810323, 3.09380346])"
1236,Trinity Bioactives Ltd,"array([2.63350888, 3.03845494])"
1237,Contact Energy Ltd.,"array([2.72378454, 3.01077068])"
1238,Doctors for Sexual Abuse Care,"array([2.67145534, 3.11691631])"
1239,Northpower,"array([2.81131444, 3.81965728])"
1240,Lincolne Scott Ltd.,"array([2.77907421, 3.12763818])"
1241,Department of Corrections,"array([2.79035966, 3.1263346 ])"
1242,Napier City Council,"array([2.05108208, 3.59877169])"
1243,Jackett Consulting,"array([2.80873083, 3.00813556])"
1244,Streamlined Environmental,"array([2.73570066, 2.89845349])"
1245,Kidney Health New Zealand,"array([2.61258342, 3.09155145])"
1246,BikeNZ,"array([2.77066877, 3.09667029])"
1247,New Zealand Breastfeeding Authority,"array([2.75564504, 3.06353238])"
1248,New Zealand Timberlands Ltd,"array([2.77687563, 3.16748943])"
1249,UUNZ,"array([2.50038018, 2.95177733])"
1250,Coastal Systems (NZ) Ltd.,"array([2.72484848, 2.89955317])"
1251,Paraparaumu College,"array([2.66945783, 3.00984992])"
1252,Southern Monitoring Services New Zealand BioSecure,"array([2.65385297, 2.87566083])"
1253,All Seasons Pharmacy,"array([2.49219447, 3.03921306])"
1254,Disability Connect,"array([2.50961403, 3.10392299])"
1255,Hernia Clinic,"array([2.75071104, 3.10767167])"
1256,Henderson Medical Centre,"array([2.59779424, 3.08955389])"
1257,Whitehouse Associates,"array([2.51601528, 3.12779321])"
1258,Eye Institute,"array([2.52113723, 3.09213321])"
1259,International Animal Welfare Consultants Limited,"array([2.52669238, 2.87492509])"
1260,N-Squared Software,"array([2.64421014, 3.09184791])"
1261,MacMurray Hypertension Clinic Ltd,"array([2.56924521, 3.1399701 ])"
1262,Julian King and Associates Limited,"array([2.59425937, 3.16194728])"
1263,Open Polytechnic of New Zealand,"array([2.65532857, 3.02261862])"
1264,Travel Clinic,"array([2.64851836, 3.23376454])"
1265,Devon Medical Centre,"array([2.60202015, 3.18431165])"
1266,Intellectual Property Office of New Zealand,"array([2.62225612, 2.90966927])"
1267,Straven Road Veterinary Centre,"array([2.69041506, 2.80863361])"
1268,Wentz Pacific Limited,"array([2.71778531, 2.89331178])"
1269,Structural Engineering Society New Zealand Inc,"array([1.82372176, 3.09367515])"
1270,Aquatic Research Solutions Ltd.,"array([2.72383469, 2.98230135])"
1271,Mighty River Power Ltd.,"array([2.7040674 , 3.01990838])"
1272,Dunedin City Council,"array([2.70759187, 3.0840169 ])"
1273,North Canterbury Veterinary Clinics,"array([2.51528048, 2.92347299])"
1274,Capital Research,"array([2.65000791, 3.12947902])"
1275,Powerhouse Ventures Ltd,"array([2.72297738, 3.08737104])"
1276,Southern District Health Board,"array([2.62218554, 3.05581198])"
1277,Ministry for Primary Industries,"array([2.64304814, 2.95913494])"
1278,Refugee Services,"array([3.09714717, 3.6935785 ])"
1279,Davidson Environmental Ltd.,"array([2.62167498, 2.99383108])"
1280,Trades Training Te Tapuae O Rehua,"array([2.74138189, 3.08253846])"
